ds100,name,lat,lon,elevation_m
FFNW,Calden-Fürstenwald,51.3804639,9.360086,305.0
NWA,Waigolshausen,49.9672209,10.1158054,252.0
DBJ,Bärenhecke-Johnsbach,50.8272757,13.7718062,389.0
DBAG,Bärenstein (b Glashütte/Sachs),50.8096554,13.7947002,421.0
DLST,Lauenstein (Sachs),50.7867981,13.8145863,476.0
DHMU,Hartmannmühle,50.7784063,13.7923566,534.0
TSE,Sennfeld,49.3787604,9.3816154,216.0
DPK,Pirk,50.4275508,12.0761162,387.0
FNIU,Neu Isenburg,50.0530322,8.6654491,120.0
FBUS,Dreieich-Buchschlag,50.0227253,8.6612553,126.0
FBUSS,Dreieich-Buchschlag,50.0226426,8.66099,139.0
KNEB,Bad Neuenahr,50.5476115,7.1443434,94.0
FLGF,Langen Flugsicherung,50.0054175,8.6585098,126.0
FEGB,Egelsbach,49.9688918,8.6535933,119.0
FDA,Darmstadt-Arheilgen,49.9138592,8.6456175,126.0
ABWD,Burgwedel,53.647665,9.9084998,16.0
ASLS,Schnelsen,53.6342106,9.9065479,16.0
DSBS,Silberstraße,50.661788,12.5492406,291.0
DHST,Hartenstein,50.6517742,12.6582375,340.0
DSUB,Bad Schlema,50.6189186,12.6800898,330.0
DSCN,Schwarzenberg-Neuwelt,50.5544014,12.765672,412.0
DSCH,Schwarzenberg - Haltepunkt,50.5324198,12.7863801,460.0
DERA,Erla,50.5197145,12.7868816,469.0
DATL,Antonsthal,50.4999409,12.7552208,520.0
DBRE,Breitenbrunn,50.4770583,12.7461509,575.0
DERB,Erlabrunn,50.4707605,12.7206838,610.0
DAD,Adorf (Vogtl),50.3238585,12.2609582,446.0
RBPK,Bad Rappenau Kurpark,49.2404065,9.1135812,229.0
AHWA,Heinschenwalde,53.4986962,8.9729312,22.0
FIL,Ingelheim am Rhein,49.9760129,8.0532128,87.0
HCOP,Coppenbrügge,52.1195443,9.5371259,148.0
FBAD,Balduinstein,50.34728,7.9677038,112.0
FELH,Schauenburg-Elgershausen,51.2756196,9.3664192,291.0
EBGZ,Bochum-Riemke,51.5179147,7.2053105,65.0
FREI,Reinheim (Odenwald),49.8296568,8.8353093,169.0
AAPS,Apensen,53.4415417,9.6116858,48.0
HLFO,Lauenförde-Beverungen,51.6584816,9.3927624,103.0
EELB,Ehlenbruch,51.9810458,8.7407819,121.0
TWA,Wasseralfingen,48.8585922,10.1036455,429.0
HHDF,Holdorf (Oldb),52.5748825,8.138373,47.0
HNKO,Neuenkirchen (Oldb),52.5083548,8.0595371,41.0
DCR,Cranzahl,50.5113429,12.9930622,650.0
TETD,Echterdingen,48.6921433,9.1693145,421.0
DNDF,Neudorf,50.477911,12.9739999,695.0
NSM,Stammbach,50.1548495,11.7050139,581.0
NSBS,Schwarzenbach (Saale),50.2203931,11.935893,506.0
NBTH,Bubenreuth,49.62938,11.0119241,273.0
FLE,Otzberg-Lengfeld,49.8393681,8.9019345,195.0
BSAH,Sachsenhausen (Nordb),52.7720121,13.2516158,39.0
EGZO,Gelsenkirchen Zoo,51.537667,7.1107718,32.0
EGBS,Gelsenkirchen-Buer Süd,51.5491512,7.0397027,41.0
SVL,Völklingen,49.2488073,6.8492341,194.0
SSAB,Saarburg,49.6061991,6.556841,149.0
SBES,Besseringen (Saar),49.4760194,6.602239,174.0
EGBN,Gelsenkirchen Buer-Nord,51.5873301,7.0510304,69.0
FER,Eppertshausen,49.9455348,8.8422419,140.0
MRDD,Radersdorf,48.5145629,11.1621818,433.0
WGRA,Gransee,53.0022995,13.1684982,62.0
EDWW,Dortmund-Wickede West S,51.5293524,7.6064714,84.0
EDWI,Dortmund-Wickede,51.5339563,7.6247415,79.0
WWK,Wittstock (Dosse),53.1604863,12.4792939,66.0
BBEL,Beelitz-Heilstätten,52.2621066,12.9255296,67.0
BBK,Borkheide,52.2308304,12.8546025,70.0
DWF,Walthersdorf (Erzgeb),50.5459866,12.9642563,586.0
FFRG,Frankenberg (Eder) Goßberg,51.0652409,8.7995579,301.0
FFRK,Frankenberg (Eder),51.0545392,8.789194,275.0
RSL;RSLV,Söllingen (Pfinztal),48.9881154,8.5432491,140.0
EGHS,Gelsenkirchen-Hassel,51.610861,7.0665379,68.0
RMAL,Maximiliansau Eisenbahnstraße,49.0371733,8.2986477,114.0
TSA,Sachsenheim,48.9615544,9.0633623,231.0
WKT,Karstädt,53.1608281,11.7383726,31.0
WGRB,Grabow (Meckl),53.2830948,11.5638854,32.0
LZBN,Zscherben,51.4675937,11.8652885,114.0
